name,accuracy,precision0,recall0,precision1,recall1,balanced_accuracy,f1_score0,f1_score1,average_f1_score,fowlkes_mallows0,fowlkes_mallows1,markedness,mcc,jaccard_index,cohens_kappa
DecisionTreeClassifier(max_depth=1),0.7037037037037037,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.7,0.7333333333333333,0.6666666666666666,0.7,0.7333333333333333,0.6666666666666666,0.7,0.7,0.5428571428571428,0.7
DecisionTreeClassifier(max_depth=2),0.6925925925925925,0.6982248520710059,0.7866666666666666,0.6831683168316832,0.575,0.6808333333333333,0.7398119122257053,0.6244343891402715,0.6821231506829883,0.7411276657651668,0.6267549618297551,0.6906965844513446,0.6856994857871668,0.5297450424929179,0.6837425910245555
DecisionTreeClassifier(max_depth=4),0.774074074074074,0.7633136094674556,0.86,0.7920792079207921,0.6666666666666666,0.7633333333333333,0.8087774294670846,0.7239819004524887,0.7663796649597867,0.8102158379975127,0.7266724195127595,0.7776964086941238,0.7704195276900677,0.6314199395770392,0.7675698560541914
DecisionTreeClassifier(max_depth=8),0.7518518518518519,0.7785234899328859,0.7733333333333333,0.71900826446281,0.725,0.7491666666666666,0.7759197324414716,0.7219917012448133,0.7489557168431424,0.7759240720251553,0.7219979167113554,0.7487658771978479,0.7489661912826662,0.6023738872403561,0.7489592006661117
DecisionTreeClassifier(max_depth=None),0.7518518518518519,0.7785234899328859,0.7733333333333333,0.71900826446281,0.725,0.7491666666666666,0.7759197324414716,0.7219917012448133,0.7489557168431424,0.7759240720251553,0.7219979167113554,0.7487658771978479,0.7489661912826662,0.6023738872403561,0.7489592006661117
BernoulliNB,0.8222222222222222,0.8311688311688312,0.8533333333333334,0.8103448275862069,0.7833333333333333,0.8183333333333334,0.8421052631578947,0.7966101694915254,0.8193577163247101,0.8421781695485043,0.7967246167544522,0.820756829377519,0.8195427838102073,0.6981132075471698,0.8193979933110368
"MLPClassifier(sizes=(1,)), thr=0.2",0.5074074074074074,0.9047619047619048,0.12666666666666668,0.4738955823293173,0.9833333333333333,0.5549999999999999,0.2222222222222222,0.6395663956639567,0.43089430894308944,0.33853090642240424,0.6826399655922796,0.689328743545611,0.6020445044821553,0.3399503722084367,0.5496613995485328
"MLPClassifier(sizes=(10,)), thr=0.2",0.6148148148148148,0.9107142857142857,0.34,0.5373831775700935,0.9583333333333334,0.6491666666666667,0.49514563106796117,0.688622754491018,0.5918841927794896,0.5564556201017806,0.7176295784302694,0.7240487316421895,0.6828130259854586,0.44385026737967914,0.6383307573415765
"MLPClassifier(sizes=(100,)), thr=0.2",0.6555555555555556,0.9130434782608695,0.42,0.5671641791044776,0.95,0.6849999999999999,0.5753424657534246,0.7102803738317757,0.6428114197926001,0.6192562158505679,0.734034038821943,0.7401038286826735,0.7107586494222589,0.48760330578512395,0.6733021077283372
"MLPClassifier(sizes=(200,)), thr=0.2",0.6592592592592592,0.9393939393939394,0.41333333333333333,0.5686274509803921,0.9666666666666667,0.69,0.5740740740740741,0.7160493827160493,0.6450617283950617,0.6231234454607115,0.7413994892191247,0.7540106951871658,0.7196862127798681,0.49171270718232046,0.6775700934579438
"MLPClassifier(sizes=(10, 10)), thr=0.2",0.5074074074074074,0.9473684210526315,0.12,0.47410358565737054,0.9916666666666667,0.5558333333333334,0.21301775147928995,0.6415094339622641,0.427263592720777,0.3371708921694098,0.6856768352828898,0.710736003355001,0.6084716254172224,0.3399503722084367,0.5503380916604057
"MLPClassifier(sizes=(1,)), thr=0.5",0.7481481481481481,0.8203125,0.7,0.6830985915492958,0.8083333333333333,0.7541666666666667,0.7553956834532374,0.7404580152671756,0.7479268493602065,0.7577722283113838,0.7430823383060233,0.7517055457746479,0.7529331128007093,0.5976331360946746,0.7495908346972177
"MLPClassifier(sizes=(10,)), thr=0.5",0.7666666666666667,0.8041958041958042,0.7666666666666667,0.7244094488188977,0.7666666666666667,0.7666666666666667,0.7849829351535836,0.7449392712550608,0.7649611032043222,0.7852070532987567,0.7452386043595847,0.7643026265073509,0.7654820152137622,0.6216216216216216,0.7651201325600663
"MLPClassifier(sizes=(100,)), thr=0.5",0.8148148148148148,0.808641975308642,0.8733333333333333,0.8240740740740741,0.7416666666666667,0.8075,0.8397435897435898,0.7807017543859649,0.8102226720647774,0.8403653918204553,0.781785310430516,0.816358024691358,0.8118975674682196,0.6875,0.8106060606060606
"MLPClassifier(sizes=(200,)), thr=0.5",0.8296296296296296,0.8291139240506329,0.8733333333333333,0.8303571428571429,0.775,0.8241666666666667,0.8506493506493507,0.8017241379310345,0.8261867442901926,0.8509364412247364,0.8022012127354868,0.8297355334538878,0.826939243226172,0.7088607594936709,0.8263422818791947
"MLPClassifier(sizes=(10, 10)), thr=0.5",0.7592592592592593,0.7272727272727273,0.9066666666666666,0.8313253012048193,0.575,0.7408333333333332,0.8071216617210683,0.6798029556650246,0.7434623086930464,0.8120307502760837,0.6913841538484745,0.7792990142387732,0.7593540294574925,0.6119402985074627,0.7484952708512468
